trust_quartile,trust_mean,MAE,RMSE,n
low,0.5203795703018417,29.439409437329946,33.427765499953935,126
mid-low,0.6008520635442604,20.598485032371624,25.319152617805234,125
mid-high,0.6622254080721661,14.173670499137065,18.71828468881614,125
high,0.8044182462200655,14.259362831709849,20.784909262328295,125
