feature_set,model,split,R2_mean,R2_std,R2_min,R2_max,RMSE_mean,RMSE_std,MAE_mean,bias_mean,n_test_mean
full_capacity_process_model,extra_trees,holdout_adsorbent,0.3635829766974245,0.3910529038818081,-0.1235562755596602,0.7583442339171034,21.85776587592684,7.1139103239907,14.96450815026449,3.21791562666036,100.6
full_capacity_process_model,extra_trees,holdout_reference,0.020029603080291,0.2867120477153082,-0.2867242909365191,0.4099218276096203,28.040140883805314,8.33317055420442,21.012576191209032,10.889469040679815,100.2
full_capacity_process_model,extra_trees,random_regime,0.7729875515324364,0.0550857602320821,0.705393163932057,0.8209444027252522,14.017235962964143,1.5301012981441238,9.015027720881942,0.8302632962467135,108.0
full_capacity_process_model,lightgbm,holdout_adsorbent,0.4363789154161829,0.292160579604927,0.1001017839809583,0.7331534366623621,20.758360217668884,5.714202559457583,13.717721254999097,1.3887163786089032,100.6
full_capacity_process_model,lightgbm,holdout_reference,0.2819983566868995,0.0736304411742285,0.2204932699613089,0.4085425964017272,23.78314165091064,4.040990753885991,18.667946645433275,5.465444192979706,100.2
full_capacity_process_model,lightgbm,random_regime,0.8064474852372046,0.0474465205500676,0.7380104281078474,0.8499010284499623,12.935599889371527,1.362369949901789,8.080463390253039,0.7392194226345264,108.0
full_capacity_process_model,xgboost,holdout_adsorbent,0.4385236931268558,0.2860621491659189,0.084018746876617,0.7396453249017113,20.75833430737196,5.672953891731581,13.936333017359086,1.5009781834072506,100.6
full_capacity_process_model,xgboost,holdout_reference,0.1678447854928871,0.0930332416121464,0.0072050849426946,0.2400352774744443,25.6615983906406,4.839598653863269,19.52654131920121,6.466541485856861,100.2
full_capacity_process_model,xgboost,random_regime,0.7984983708130785,0.0453445896155562,0.7401990468182822,0.8326467859654305,13.220627095525682,1.3529094884646071,8.435953275783877,0.357875097196384,108.0
screening_safe_numeric_only,extra_trees,holdout_adsorbent,0.4740860827798093,0.1852466888692098,0.2413923814466992,0.6635282524230837,20.53368859742829,4.375766792709407,16.863138473071626,1.3013686477420576,100.6
screening_safe_numeric_only,extra_trees,holdout_reference,0.3054372817259615,0.1580262521871613,0.1199202821704161,0.4788746460714489,23.54414098854111,6.104873853925673,18.670326782493024,2.8292923461277897,100.2
screening_safe_numeric_only,extra_trees,random_regime,0.3805992231017366,0.1517621333232037,0.188059622870781,0.5095625474453672,23.163029122900607,2.6729984510609297,16.909796285048003,1.3364166777982869,108.0
screening_safe_numeric_only,lightgbm,holdout_adsorbent,0.5002048209593182,0.1224195487419364,0.3157171391147035,0.6178010200055658,20.0971839295813,2.9732750781050177,15.192597038246593,1.676474387259276,100.6
screening_safe_numeric_only,lightgbm,holdout_reference,0.0068312142328196,0.468250334890242,-0.6414562746585519,0.4299151961760749,28.036634025675426,10.72226715672616,21.63728903541226,6.936778796557528,100.2
screening_safe_numeric_only,lightgbm,random_regime,0.6118691019118515,0.0774888655210195,0.5355271007407199,0.7228868197240229,18.46995296396432,2.822422779360985,12.939736536613992,1.4143742715019607,108.0
screening_safe_numeric_only,xgboost,holdout_adsorbent,0.519885331647327,0.164373526705319,0.2465834326864874,0.6832038269518624,19.61332992078548,3.81060733489437,15.14598787675332,1.97724360746228,100.6
screening_safe_numeric_only,xgboost,holdout_reference,0.0944514864803737,0.3672913031034684,-0.3213150838317957,0.455494625451788,26.87644055604024,9.46881408810242,20.836679527615395,6.432074908116552,100.2
screening_safe_numeric_only,xgboost,random_regime,0.6773602872252928,0.0653305711213303,0.5966409989225865,0.7397212686044451,16.728468197660927,1.3537326584366958,12.282779255970672,1.1084928353196772,108.0
screening_safe_plus_adsorbate_onehot,extra_trees,holdout_adsorbent,0.2887825334126469,0.3972161984721979,-0.1913557868294766,0.6212643293643025,23.30165554426796,6.660304487481669,16.43496679431528,3.143091259709334,100.6
screening_safe_plus_adsorbate_onehot,extra_trees,holdout_reference,-0.0665664047510002,0.3354317705688089,-0.5213592799628948,0.2305876182604407,29.247135841560976,8.932915857167126,21.860528275884413,11.161230965532935,100.2
screening_safe_plus_adsorbate_onehot,extra_trees,random_regime,0.7197468226764431,0.0480828868955969,0.6581034275051656,0.7793618306713315,15.620631241505672,1.1810025119735028,10.75417755374567,0.9282931234245494,108.0
screening_safe_plus_adsorbate_onehot,lightgbm,holdout_adsorbent,0.3277909982207256,0.406665525871143,-0.1361044391594801,0.6734253796838243,22.512529469714785,6.955769587788099,16.280345998844616,2.789079976750416,100.6
screening_safe_plus_adsorbate_onehot,lightgbm,holdout_reference,-0.1001690382216203,0.5653067231013796,-0.723359190578555,0.3942624482433585,29.5443853720008,12.074746332280364,22.24486810120628,10.724160473562415,100.2
screening_safe_plus_adsorbate_onehot,lightgbm,random_regime,0.7193441911145246,0.0603747985125528,0.6566355629178042,0.7904718857208481,15.579058379994551,1.2490140108043988,10.751230178432964,0.8820839649938239,108.0
screening_safe_plus_adsorbate_onehot,xgboost,holdout_adsorbent,0.36455231939147,0.3490532822896207,-0.0268382050545699,0.6692657617370051,22.041604634407925,6.139885526576772,16.048964054421443,2.6427453640867755,100.6
screening_safe_plus_adsorbate_onehot,xgboost,holdout_reference,-0.0295590520806713,0.3513358780301231,-0.4187246265393067,0.3304689045960606,28.693131409436468,9.162082434449372,21.853074588801405,8.995579741983605,100.2
screening_safe_plus_adsorbate_onehot,xgboost,random_regime,0.728269700192666,0.0716147148344641,0.6470435424892191,0.801271253959716,15.290462068426374,1.623490482998731,10.839008706398484,0.5976854783086593,108.0
screening_safe_plus_ion,extra_trees,holdout_adsorbent,0.3820913976976585,0.3274698502913419,-0.0045921775914512,0.6312221596298451,21.79825405839641,5.861096009556245,15.910979268946887,3.120780499050197,100.6
screening_safe_plus_ion,extra_trees,holdout_reference,0.130746572829501,0.1549035775693487,-0.1180624742738292,0.2860819041798367,26.295660329184507,5.839005088774587,20.660039810839084,6.575508059631932,100.2
screening_safe_plus_ion,extra_trees,random_regime,0.721783531718511,0.0674496103693856,0.645460529461698,0.799713726627183,15.492988997361312,1.520756870557149,10.664464229142158,0.5728248506615905,108.0
screening_safe_plus_ion,lightgbm,holdout_adsorbent,0.3234011176590615,0.3745301569593687,-0.0862969280031435,0.6741955531418685,22.71711526601423,6.390452737186312,16.29566665210949,2.825127372653085,100.6
screening_safe_plus_ion,lightgbm,holdout_reference,-0.0183315931644854,0.382506582360799,-0.5455408283619327,0.3193580080578869,28.49089723904978,9.421059393815844,21.589219784584763,9.723776107647378,100.2
screening_safe_plus_ion,lightgbm,random_regime,0.7092667453443507,0.0606559816055056,0.639090027993519,0.7765649994382917,15.874433309983724,1.3435447810109633,10.912316549913523,0.7830636262804851,108.0
screening_safe_plus_ion,xgboost,holdout_adsorbent,0.3635127831255834,0.3440517149500742,-0.0145750653185767,0.6949971758864473,22.059049059714027,6.040024470121221,16.271057687271046,2.400795136551636,100.6
screening_safe_plus_ion,xgboost,holdout_reference,-0.0055345849810137,0.3352355695569804,-0.4846298601315293,0.3171603317012272,28.34074134103536,8.764594902342218,21.60038424491784,8.476511417933093,100.2
screening_safe_plus_ion,xgboost,random_regime,0.7264598830781777,0.0744794101742875,0.6342456724793326,0.7979893090983121,15.337514745845578,1.7312444649241987,10.881654714033214,0.5666827104279017,108.0
