feature_set,model,split,R2_mean,R2_std,R2_min,R2_max,RMSE_mean,RMSE_std,MAE_mean,bias_mean,n_test_mean
full_capacity_process_model,extra_trees,holdout_adsorbent,0.3635829766974246,0.391052903881808,-0.1235562755596602,0.7583442339171034,21.85776587592684,7.113910323990699,14.96450815026449,3.21791562666036,100.6
full_capacity_process_model,extra_trees,holdout_reference,0.020029603080291,0.2867120477153082,-0.2867242909365193,0.4099218276096203,28.04014088380532,8.333170554204424,21.012576191209032,10.88946904067982,100.2
full_capacity_process_model,extra_trees,random_regime,0.7729875515324364,0.0550857602320822,0.705393163932057,0.8209444027252522,14.017235962964143,1.5301012981441242,9.015027720881942,0.830263296246712,108.0
full_capacity_process_model,lightgbm,holdout_adsorbent,0.4363789154161829,0.292160579604927,0.1001017839809583,0.7331534366623621,20.758360217668884,5.714202559457583,13.717721254999097,1.3887163786089032,100.6
full_capacity_process_model,lightgbm,holdout_reference,0.2819983566868995,0.0736304411742285,0.2204932699613089,0.4085425964017272,23.78314165091064,4.040990753885991,18.667946645433275,5.465444192979706,100.2
full_capacity_process_model,lightgbm,random_regime,0.8064474852372046,0.0474465205500676,0.7380104281078474,0.8499010284499623,12.935599889371527,1.362369949901789,8.080463390253039,0.7392194226345264,108.0
full_capacity_process_model,lightgbm_conservative,holdout_adsorbent,0.5258429394064945,0.2098066299066972,0.3037913625157106,0.7546913883117174,19.185351304232,4.485477347800579,12.999644388483086,1.182421546486497,100.6
full_capacity_process_model,lightgbm_conservative,holdout_reference,0.1912639125271862,0.121587593977482,-0.0152606000656811,0.2925055178782249,25.08022014016559,3.1581195704141907,19.340297765676016,5.409311730603256,100.2
full_capacity_process_model,lightgbm_conservative,random_regime,0.7983208893609943,0.0526517770874532,0.7270528558513203,0.8570304264547337,13.197946206926485,1.5981475704755097,8.440887181988444,0.7703863359182309,108.0
full_capacity_process_model,lightgbm_deeper,holdout_adsorbent,0.3822284431139935,0.3471987055503056,-0.0555871316603764,0.7290716285303712,21.6257744840106,6.608919639461453,13.76173189722191,1.3827941992577215,100.6
full_capacity_process_model,lightgbm_deeper,holdout_reference,0.3295976816574628,0.1392546522801422,0.193807144132373,0.5048206843249929,22.88037764685023,4.320317756380827,17.666486884256496,5.645864074387418,100.2
full_capacity_process_model,lightgbm_deeper,random_regime,0.8026385788418018,0.0445207564124953,0.7437678445846602,0.8464679489818983,13.081723161982037,1.3395217715959211,7.786298724568835,0.6386595627831398,108.0
full_capacity_process_model,xgboost,holdout_adsorbent,0.4385236931268558,0.2860621491659189,0.084018746876617,0.7396453249017113,20.75833430737196,5.672953891731581,13.936333017359086,1.5009781834072506,100.6
full_capacity_process_model,xgboost,holdout_reference,0.1678447854928871,0.0930332416121464,0.0072050849426946,0.2400352774744443,25.6615983906406,4.839598653863269,19.52654131920121,6.466541485856861,100.2
full_capacity_process_model,xgboost,random_regime,0.7984983708130785,0.0453445896155562,0.7401990468182822,0.8326467859654305,13.220627095525682,1.3529094884646071,8.435953275783877,0.357875097196384,108.0
screening_safe_numeric_only,extra_trees,holdout_adsorbent,0.4740860827798093,0.18524668886921,0.241392381446699,0.6635282524230837,20.53368859742829,4.375766792709408,16.863138473071622,1.3013686477420574,100.6
screening_safe_numeric_only,extra_trees,holdout_reference,0.3054372817259616,0.1580262521871615,0.1199202821704159,0.4788746460714491,23.54414098854111,6.104873853925675,18.670326782493024,2.829292346127791,100.2
screening_safe_numeric_only,extra_trees,random_regime,0.3805992231017366,0.1517621333232037,0.188059622870781,0.5095625474453672,23.16302912290061,2.67299845106093,16.909796285048003,1.336416677798287,108.0
screening_safe_numeric_only,lightgbm,holdout_adsorbent,0.5002048209593182,0.1224195487419364,0.3157171391147035,0.6178010200055658,20.0971839295813,2.9732750781050177,15.192597038246593,1.676474387259276,100.6
screening_safe_numeric_only,lightgbm,holdout_reference,0.0068312142328196,0.468250334890242,-0.6414562746585519,0.4299151961760749,28.036634025675426,10.72226715672616,21.63728903541226,6.936778796557528,100.2
screening_safe_numeric_only,lightgbm,random_regime,0.6118691019118515,0.0774888655210195,0.5355271007407199,0.7228868197240229,18.46995296396432,2.822422779360985,12.939736536613992,1.4143742715019607,108.0
screening_safe_numeric_only,lightgbm_conservative,holdout_adsorbent,0.4407535421395901,0.1388275497370244,0.2475276386301803,0.5713590731052036,21.23991660670796,3.076609603930278,16.10967464806312,0.8468115160709481,100.6
screening_safe_numeric_only,lightgbm_conservative,holdout_reference,-0.0698963788874772,0.5330515335298146,-0.8276849039026863,0.4201770051677965,29.079972560449864,11.518686365263546,22.035407575724687,8.436279514339306,100.2
screening_safe_numeric_only,lightgbm_conservative,random_regime,0.5374688231642584,0.066117853585658,0.4797993930086798,0.6509372126534536,20.150058673394334,2.1737544049889093,14.213954782006937,0.5772920557582233,108.0
screening_safe_numeric_only,lightgbm_deeper,holdout_adsorbent,0.5323194593511957,0.1568491051708448,0.2802479466123752,0.6557141480830183,19.350347393806526,3.5861322036355947,14.551089027020506,1.5937254157797869,100.6
screening_safe_numeric_only,lightgbm_deeper,holdout_reference,-0.1016550206816919,0.3555306086810684,-0.5623320458966377,0.3148550026867667,29.532315321826644,8.737583709506554,22.96751089402264,4.889736881310108,100.2
screening_safe_numeric_only,lightgbm_deeper,random_regime,0.7089842661986252,0.0534523973519553,0.6500238969944288,0.7783320276652499,15.884878830166604,0.9567442562936752,10.789953893924926,0.8181275084488924,108.0
screening_safe_numeric_only,xgboost,holdout_adsorbent,0.519885331647327,0.164373526705319,0.2465834326864874,0.6832038269518624,19.61332992078548,3.81060733489437,15.14598787675332,1.97724360746228,100.6
screening_safe_numeric_only,xgboost,holdout_reference,0.0944514864803737,0.3672913031034684,-0.3213150838317957,0.455494625451788,26.87644055604024,9.46881408810242,20.836679527615395,6.432074908116552,100.2
screening_safe_numeric_only,xgboost,random_regime,0.6773602872252928,0.0653305711213303,0.5966409989225865,0.7397212686044451,16.728468197660927,1.3537326584366958,12.282779255970672,1.1084928353196772,108.0
screening_safe_plus_adsorbate_onehot,extra_trees,holdout_adsorbent,0.2887825334126468,0.397216198472198,-0.1913557868294766,0.6212643293643024,23.30165554426796,6.660304487481669,16.434966794315283,3.143091259709333,100.6
screening_safe_plus_adsorbate_onehot,extra_trees,holdout_reference,-0.0665664047510002,0.3354317705688089,-0.5213592799628943,0.2305876182604407,29.247135841560976,8.932915857167126,21.860528275884413,11.16123096553294,100.2
screening_safe_plus_adsorbate_onehot,extra_trees,random_regime,0.7197468226764431,0.0480828868955969,0.6581034275051656,0.7793618306713315,15.620631241505672,1.1810025119735037,10.75417755374567,0.9282931234245496,108.0
screening_safe_plus_adsorbate_onehot,lightgbm,holdout_adsorbent,0.3277909982207256,0.406665525871143,-0.1361044391594801,0.6734253796838243,22.512529469714785,6.955769587788099,16.280345998844616,2.789079976750416,100.6
screening_safe_plus_adsorbate_onehot,lightgbm,holdout_reference,-0.1001690382216203,0.5653067231013796,-0.723359190578555,0.3942624482433585,29.5443853720008,12.074746332280364,22.24486810120628,10.724160473562415,100.2
screening_safe_plus_adsorbate_onehot,lightgbm,random_regime,0.7193441911145246,0.0603747985125528,0.6566355629178042,0.7904718857208481,15.579058379994551,1.2490140108043988,10.751230178432964,0.8820839649938239,108.0
screening_safe_plus_adsorbate_onehot,lightgbm_conservative,holdout_adsorbent,0.3871389111072024,0.3327565128798276,-0.0425427871799566,0.6810262935996398,21.69119096927178,6.0979881121286015,15.74176630088608,2.889103979721461,100.6
screening_safe_plus_adsorbate_onehot,lightgbm_conservative,holdout_reference,-0.1148306896244783,0.4556410191500162,-0.7361647488099619,0.2982753497140991,29.835022498391368,10.54411565550587,22.67234219702803,9.451820582420764,100.2
